chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL153466,CC(C)[C@H](NC(=O)[C@H]1CSSC[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](CC(=O)O)C(=O)N1)C(=O)NCC(=O)N,0.8,macrocyclic
CHEMBL203077,CC(C)[C@]1(NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(F)(F)F,0.59,macrocyclic
CHEMBL203693,CC(C)[C@@]1(NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(F)(F)F,0.59,macrocyclic
CHEMBL103214,CC(C)[C@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O,0.92,macrocyclic
CHEMBL429876,CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O,0.92,macrocyclic
CHEMBL2372357,CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)NNC(=O)[C@H](CCCN=C(N)N)NC1=O,0.7,macrocyclic
CHEMBL4070666,CC(C)[C@H]1N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O,0.92,macrocyclic
CHEMBL1236043,CC(C)[C@H](NC(=O)N[C@@H](C(C)C)C(=O)N[C@H]1\C=C\CCNC(=O)\C=C\[C@@H](NC1=O)C(C)C)C(=O)O,0.99,macrocyclic
CHEMBL2332837,CC(C)[C@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)C[C@H](NC(=O)[C@H](NC1=O)c2ccccc2)C(=O)O,0.92,macrocyclic
CHEMBL2332838,CC(C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)C[C@H](NC(=O)[C@H](NC1=O)c2ccccc2)C(=O)O,0.92,macrocyclic
